7,1 1 1 ,2 2 2 ,0 1 1 1 ,1 1 2 1 ,0.375 0.0 1.0 0.0 
1,1 1 1 ,2 2 1 ,0 1 0 1 ,1 1 0 1 ,0.625 0.375 0.0 0.375 
3,1 1 1 ,3 3 3 ,0 1 0 1 ,2 2 2 2 ,0.375 0.55859375 0.734375 0.77734375 
9,2 2 1 ,3 3 3 ,1 1 0 1 ,2 2 2 2 ,0.65625 0.3828125 0.74609375 0.58203125 
8,2 1 2 ,3 3 3 ,1 1 1 1 ,2 2 2 2 ,0.42578125 0.79296875 0.76171875 0.76171875 
5,1 1 1 ,2 3 3 ,1 0 0 1 ,1 1 2 2 ,0.625 0.625 0.375 0.8125 
2,1 1 1 ,2 3 3 ,0 1 1 1 ,1 1 2 2 ,0.37109375 0.7890625 0.83203125 0.375 
4,2 2 1 ,2 2 1 ,1 2 1 1 ,1 2 1 1 ,0.0 0.0 0.375 0.37890625 
6,1 2 2 ,3 3 3 ,1 0 1 1 ,2 2 2 2 ,0.30859375 0.58203125 0.5546875 0.765625 
0,2 2 2 ,2 2 2 ,1 1 1 1 ,1 1 1 1 ,0.50390625 0.50390625 0.74609375 0.74609375 
